,feature,n,IQR_n_outliers,IQR_outlier_%,IQR_min,IQR_max,IQR_lower_bound,IQR_upper_bound,Z_n_outliers,Z_outlier_%,Z_min,Z_max,Z_lower_bound,Z_upper_bound
164,04017011,7577,175,2.3096212221195724,41.463,45.45,42.78975,44.03014999999999,124,1.6365316088161541,41.463,45.45,-3,3
91,03027062,7185,162,2.2546972860125263,333.4019,336.163,333.3745275,335.00216349999994,71,0.9881697981906751,333.4019,336.163,-3,3
117,03040007,3106,70,2.2537025112685125,47.938,49.1011,48.11267499999998,49.40687500000003,15,0.4829362524146813,47.938,49.1011,-3,3
151,03097062,8258,185,2.240251876967789,30.71,34.11,32.12783125,33.70717925000001,123,1.4894647614434489,30.71,34.11,-3,3
180,04060004,2461,54,2.1942299878098335,209.5775,212.4203,209.86674999999997,212.60235000000006,0,0.0,209.5775,212.4203,-3,3
80,03020006,2530,55,2.1739130434782608,487.1066,489.1844,487.221775,489.50857500000006,0,0.0,487.1066,489.1844,-3,3
284,09060006,1571,34,2.1642266072565244,1.1613,3.1535,1.1949499999999997,2.4349499999999997,11,0.7001909611712286,1.1613,3.1535,-3,3
51,02370002,5141,108,2.1007586072748494,130.7883,131.9033,130.98,131.6176,57,1.1087337093950593,130.7883,131.9033,-3,3
125,03040015,5714,119,2.0826041302065104,249.0034,250.8128,249.15634875000003,250.54299074999997,11,0.19250962548127407,249.0034,250.8128,-3,3
239,06150001,6454,134,2.076231794236133,487.9368,490.325072,487.454923,489.762751,74,1.1465757669662224,487.9368,490.325072,-3,3
144,03090013,7926,164,2.069139540751956,45.8023,53.164,48.03442500000001,54.568145,80,1.0093363613424173,45.8023,53.164,-3,3
45,02340006,6634,134,2.0198974977389206,374.7232,380.9721,375.696522875,379.72519387500006,86,1.2963521254145314,374.7232,380.9721,-3,3
53,02370004,4600,91,1.9782608695652175,130.6346,131.4681,130.86927499999996,131.44827500000002,57,1.2391304347826086,130.6346,131.4681,-3,3
69,03010002,4052,78,1.9249753208292202,70.0267,71.47760000000001,70.22923749999998,71.66653750000003,1,0.024679170779861793,70.0267,71.47760000000001,-3,3
233,05280001,4510,85,1.8847006651884701,161.799999,168.024672,164.59416337500008,168.69657237499993,47,1.042128603104213,161.799999,168.024672,-3,3
67,03000005,4054,76,1.8746916625555006,6.240737999999999,7.2658,6.561810624999999,7.040193625,31,0.7646768623581648,6.240737999999999,7.2658,-3,3
191,04300007,6209,115,1.852150104686745,295.9466,296.794568,295.8763774999999,296.63323750000006,58,0.9341278788854888,295.9466,296.794568,-3,3
113,03040001,5252,94,1.78979436405179,6.839900000000002,9.188,6.67541875,8.882748750000003,36,0.6854531607006854,6.839900000000002,9.188,-3,3
